trial_type,onset,duration
US_Aplus1,10,4
minus1,22,4
US_Bplus1,34,4
Aplus1,44,4
Bplus1,58,4
minus1,68,4
US_Bplus1,82,4
US_Aplus1,92,4
Aplus1,104,4
minus1,114,4
Bplus1,128,4
US_Bplus1,142,4
minus1,152,4
US_Aplus1,164,4
Aplus1,176,4
Bplus1,190,4
Bplus1,202,4
US_Bplus2,216,4
Aplus1,228,4
Bplus2,238,4
US_Aplus2,250,4
US_Aplus2,260,4
minus2,272,4
Aplus2,286,4
Bplus2,300,4
minus2,310,4
US_Aplus2,322,4
US_Bplus2,332,4
Aplus2,346,4
minus2,356,4
US_Bplus2,370,4
Aplus2,380,4
Bplus2,394,4
minus2,406,4
US_Aplus2,420,4
US_Bplus2,432,4
minus2,442,4
Aplus2,456,4
Bplus2,470,4
Bplus2,482,4
Aplus2,494,4
