,Start_TR,Stop_TR,rJK,rQL,rPM,rKN,rNT,rLS,rAR,Scene_Length,rMode,rMode_Counts,Timestamp
0,4,59,2,3,3,2,3,4,3,55,3,4,0:00
1,59,139,4,5,4,5,4,5,5,80,5,4,0:55
2,139,224,3,4,4,4,2,4,3,85,4,4,2:15
3,224,244,3,4,3,4,3,3,3,20,3,5,3:40
4,244,274,4,5,3,4,4,3,2,30,4,3,4:00
5,274,330,2,2,2,3,1,2,4,56,2,4,4:30
6,330,344,3,3,3,2,2,3,5,14,3,4,5:26
7,344,385,3,3,3,3,4,3,3,41,3,6,5:40
8,385,389,4,3,3,3,3,4,2,4,3,4,6:21
9,389,459,4,4,4,2,4,5,4,70,4,5,6:25
10,459,500,3,4,4,4,2,4,5,41,4,4,7:35
11,500,574,3,4,2,2,2,2,4,74,2,4,8:16
12,574,584,3,3,3,3,3,3,4,10,3,6,9:30
13,584,649,3,3,3,5,4,3,5,65,3,4,9:40
14,649,718,4,4,4,5,5,5,5,69,5,4,10:45
15,718,752,5,5,5,5,5,5,5,34,5,7,11:54
16,752,776,5,5,5,5,4,5,5,24,5,6,12:28
17,776,803,5,5,5,4,4,5,5,27,5,5,12:52
18,803,830,4,5,5,5,5,5,5,27,5,6,13:19
19,830,834,3,5,5,5,5,3,5,4,5,5,13:46
20,834,866,1,2,4,2,3,2,5,32,2,3,13:50
21,866,892,4,4,4,4,5,4,2,26,4,5,14:22
22,892,924,5,4,5,5,4,5,3,32,5,4,14:48
23,924,948,4,5,3,5,5,5,5,24,5,5,15:20
24,948,951,5,5,5,5,3,5,4,3,5,5,15:44
25,951,998,4,5,4,5,4,5,5,47,5,4,15:47
26,998,1001,3,5,3,5,3,3,3,3,3,5,16:34
27,1001,1020,4,5,4,5,5,4,4,19,4,4,16:37
